Id,Balance,Amount,Currency,Type,Status,Modified,Trade Id,Instrument Symbol,Instrument Name,Commission,Account type
"912863038","7.01","-0.08","USD","TRADE","PROCESSED","2022-12-18 16:21:01","0069261d-0001-54c4-0000-4b9000200a6e_0069261d-0001-54c4-0000-000080410190","0x/USD","0x / USD","","CFD"
"912863029","7.09","-0.15","USD","TRADE","PROCESSED","2022-12-18 16:20:06","0010709d-0001-54c4-0000-4b9000200544_0010709d-0001-54c4-0000-0000804102a9","DGB/USD","DigiByte / USD","","CFD"
"912863015","7.24","0","USD","TRADE","PROCESSED","2022-12-18 16:19:28","0004405d-0009-40dd-0000-4b900003638b_0004405d-0009-40dd-0000-000080280097","ADA/BTC","Cardano / Bitcoin","","CFD"
"912862935","7.24","0","USD","TRADE","PROCESSED","2022-12-18 16:15:36","0004405d-0009-40dd-0000-4b9000035fea_0004405d-0009-40dd-0000-000080280094","ADA/BTC","Cardano / Bitcoin","","CFD"
"912862920","7.24","0","USD","TRADE","PROCESSED","2022-12-18 16:14:20","0004405d-0009-40dd-0000-4b9000035f12_0004405d-0009-40dd-0000-00008028003d","ADA/BTC","Cardano / Bitcoin","","CFD"
"912862888","7.24","0","USD","TRADE","PROCESSED","2022-12-18 16:12:27","0004405d-0009-40dd-0000-4b9000035d9c_0004405d-0009-40dd-0000-000080280039","ADA/BTC","Cardano / Bitcoin","","CFD"
"912862862","7.24","0","USD","TRADE","PROCESSED","2022-12-18 16:10:55","0004405d-0009-40dd-0000-4b9000035c89_0004405d-0009-40dd-0000-000080280036","ADA/BTC","Cardano / Bitcoin","","CFD"
"912862832","7.24","0","USD","TRADE","PROCESSED","2022-12-18 16:09:41","0004405d-0009-40dd-0000-4b9000035b6d_0004405d-0009-40dd-0000-000080280031","ADA/BTC","Cardano / Bitcoin","","CFD"
"912862824","7.24","0","USD","TRADE","PROCESSED","2022-12-18 16:09:34","0004405d-0009-40dd-0000-4b9000035b47_0004405d-0009-40dd-0000-00008028002e","ADA/BTC","Cardano / Bitcoin","","CFD"
"912862792","7.24","0","USD","TRADE","PROCESSED","2022-12-18 16:08:26","0004405d-0009-40dd-0000-4b9000035a68_0004405d-0009-40dd-0000-000080280028","ADA/BTC","Cardano / Bitcoin","","CFD"
